run_id,baslangic_ts_utc,bitis_ts_utc,etiket,senaryo,sensor,status,traffic_mode,cleanup_ok,mitre,notlar
1,,,normal,baseline_read,ot,legacy,legacy-mixed,unknown,,normal_client.py ile ~5-10 dk okuma
2,,,attack,modbus_write_setpoint,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,attack_client.py --dwell 30 calistir; setpoint 95
3,2026-07-23T20:42:18.564304+00:00,2026-07-23T20:42:48.570691+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,warmup
3,2026-07-23T20:42:48.578149+00:00,2026-07-23T20:42:49.016532+00:00,attack,recon_scan,ot,legacy,legacy-mixed,unknown,T0846;T0888,"32 okuma, 0..64 araligi tarandi"
3,2026-07-23T20:42:49.020680+00:00,2026-07-23T20:43:09.026290+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-recon_scan
3,2026-07-23T20:43:09.029590+00:00,2026-07-23T20:43:09.112539+00:00,attack,modbus_write,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,"HR2<-95, HR3<-1200, Coil0<-True"
3,2026-07-23T20:43:09.113306+00:00,2026-07-23T20:43:29.115182+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-modbus_write
3,2026-07-23T20:43:29.117516+00:00,2026-07-23T20:43:31.622112+00:00,attack,dos_flood,ot,legacy,legacy-mixed,unknown,T0814;T0815,300/300 baglanti acildi
3,2026-07-23T20:43:31.623694+00:00,2026-07-23T20:43:51.634332+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-dos_flood
4,2026-07-23T20:47:19.518365+00:00,2026-07-23T20:49:19.530037+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,warmup
4,2026-07-23T20:49:19.533459+00:00,2026-07-23T20:49:20.002222+00:00,attack,recon_scan,ot,legacy,legacy-mixed,unknown,T0846;T0888,"32 okuma, 0..64 araligi tarandi"
4,2026-07-23T20:49:20.002849+00:00,2026-07-23T20:50:20.018409+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-recon_scan
4,2026-07-23T20:50:20.019744+00:00,2026-07-23T20:50:20.046467+00:00,attack,modbus_write,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,"HR2<-95, HR3<-1200, Coil0<-True"
4,2026-07-23T20:50:20.047331+00:00,2026-07-23T20:51:20.047217+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-modbus_write
4,2026-07-23T20:51:20.048731+00:00,2026-07-23T20:51:22.728080+00:00,attack,dos_flood,ot,legacy,legacy-mixed,unknown,T0814;T0815,300/300 baglanti acildi
4,2026-07-23T20:51:22.729116+00:00,2026-07-23T20:52:22.738935+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-dos_flood
5,2026-07-23T20:52:24.384908+00:00,2026-07-23T20:54:24.392880+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,warmup
5,2026-07-23T20:54:24.396009+00:00,2026-07-23T20:54:24.833985+00:00,attack,recon_scan,ot,legacy,legacy-mixed,unknown,T0846;T0888,"32 okuma, 0..64 araligi tarandi"
5,2026-07-23T20:54:24.834550+00:00,2026-07-23T20:55:24.841294+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-recon_scan
5,2026-07-23T20:55:24.842561+00:00,2026-07-23T20:55:24.872292+00:00,attack,modbus_write,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,"HR2<-95, HR3<-1200, Coil0<-True"
5,2026-07-23T20:55:24.873084+00:00,2026-07-23T20:56:24.884353+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-modbus_write
5,2026-07-23T20:56:24.886329+00:00,2026-07-23T20:56:27.256580+00:00,attack,dos_flood,ot,legacy,legacy-mixed,unknown,T0814;T0815,300/300 baglanti acildi
5,2026-07-23T20:56:27.257583+00:00,2026-07-23T20:57:27.259187+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-dos_flood
6,2026-07-23T20:57:28.725834+00:00,2026-07-23T20:59:28.740663+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,warmup
6,2026-07-23T20:59:28.743337+00:00,2026-07-23T20:59:29.213819+00:00,attack,recon_scan,ot,legacy,legacy-mixed,unknown,T0846;T0888,"32 okuma, 0..64 araligi tarandi"
6,2026-07-23T20:59:29.214315+00:00,2026-07-23T21:00:29.220049+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-recon_scan
6,2026-07-23T21:00:29.221344+00:00,2026-07-23T21:00:29.255960+00:00,attack,modbus_write,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,"HR2<-95, HR3<-1200, Coil0<-True"
6,2026-07-23T21:00:29.257546+00:00,2026-07-23T21:01:29.267046+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-modbus_write
6,2026-07-23T21:01:29.268472+00:00,2026-07-23T21:01:31.813544+00:00,attack,dos_flood,ot,legacy,legacy-mixed,unknown,T0814;T0815,300/300 baglanti acildi
6,2026-07-23T21:01:31.814920+00:00,2026-07-23T21:02:31.822591+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-dos_flood
7,2026-07-23T21:54:37.293441+00:00,2026-07-23T21:56:07.292604+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,warmup
7,2026-07-23T21:56:07.295265+00:00,2026-07-23T21:56:07.735586+00:00,attack,recon_scan,ot,legacy,legacy-mixed,unknown,T0846;T0888,"32 okuma, 0..64 araligi tarandi"
7,2026-07-23T21:56:07.736236+00:00,2026-07-23T21:56:52.741747+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-recon_scan
7,2026-07-23T21:56:52.743182+00:00,2026-07-23T21:56:52.756388+00:00,attack,modbus_write,ot,legacy,legacy-mixed,unknown,T0836;T0855;T0831,"HR2<-95, HR3<-1200, Coil0<-True"
7,2026-07-23T21:56:52.757037+00:00,2026-07-23T21:57:37.762502+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-modbus_write
7,2026-07-23T21:57:37.768735+00:00,2026-07-23T21:57:40.346238+00:00,attack,dos_flood,ot,legacy,legacy-mixed,unknown,T0814;T0815,300/300 baglanti acildi
7,2026-07-23T21:57:40.348496+00:00,2026-07-23T21:58:25.364199+00:00,normal,baseline,ot,legacy,legacy-mixed,unknown,,gap-after-dos_flood
